@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute outputs-1 {0,1,2}

@data
3391,'2017/03/22 18:36:17:490',3,0.67793,0.912241,1
3392,'2017/03/22 18:36:17:491',3,0.67793,0.900991,1
3393,'2017/03/22 18:36:17:529',3,0.662993,0.900991,1
3394,'2017/03/22 18:36:17:529',3,0.662993,0.889626,1
3395,'2017/03/22 18:36:17:675',3,0.648056,0.889626,1
3396,'2017/03/22 18:36:17:676',3,0.648056,0.878261,1
3397,'2017/03/22 18:36:17:787',3,0.633119,0.878261,1
3398,'2017/03/22 18:36:17:787',3,0.633119,0.866896,1
3399,'2017/03/22 18:36:17:826',3,0.618183,0.866896,1
3400,'2017/03/22 18:36:17:826',3,0.618183,0.85553,1
3401,'2017/03/22 18:36:17:955',3,0.603246,0.85553,1
3402,'2017/03/22 18:36:17:955',3,0.603246,0.844165,1
3403,'2017/03/22 18:36:18:088',3,0.588309,0.844165,1
3404,'2017/03/22 18:36:18:088',3,0.588309,0.8328,1
3405,'2017/03/22 18:36:18:188',3,0.573372,0.8328,1
3406,'2017/03/22 18:36:18:188',3,0.573372,0.821434,1
3407,'2017/03/22 18:36:18:255',3,0.562824,0.821434,1
3408,'2017/03/22 18:36:18:255',3,0.562824,0.809709,1
3409,'2017/03/22 18:36:18:383',3,0.55176,0.809709,1
3410,'2017/03/22 18:36:18:384',3,0.55176,0.797983,1
3411,'2017/03/22 18:36:18:471',3,0.540344,0.797983,1
3412,'2017/03/22 18:36:18:471',3,0.540344,0.78649,1
3413,'2017/03/22 18:36:18:555',3,0.528997,0.78649,1
3414,'2017/03/22 18:36:18:555',3,0.528997,0.775344,1
3415,'2017/03/22 18:36:18:623',3,0.517495,0.775344,1
3416,'2017/03/22 18:36:18:623',3,0.517495,0.764778,1
3417,'2017/03/22 18:36:18:771',3,0.505911,0.764778,1
3418,'2017/03/22 18:36:18:771',3,0.505911,0.75456,1
